plr_id,plr_name,longitude,latitude
06100208,"Bergstraße",13.332601,52.455885
03200206,"Pastor-Niemöller-Platz",13.396246,52.580203
03601452,"Velodrom",13.448469,52.530840
11200513,"Große-Leege-Straße",13.491644,52.540908
05100104,"Maselake",13.213905,52.558116
12601235,"Dannenwalder Weg",13.357106,52.594261
03400725,"Schlosspark",13.421805,52.583161
04300416,"Amtsgerichtsplatz",13.297458,52.506745
04501148,"Brabanter Platz",13.315195,52.480970
08401244,"Waßmannsdorfer Chaussee",13.492327,52.406103
09301024,"Falkenberg",13.565268,52.406948
06400843,"Thielallee",13.285069,52.449268
12200412,"Waldidyll/Flughafensee",13.274835,52.568399
12200515,"Alt-Tegel",13.279308,52.589059
07501135,"Birnhornweg",13.392339,52.421980
01100103,"Lützowstraße",13.358703,52.503504
08200725,"Mohriner Allee Nord",13.423455,52.446418
03701658,"Christburger Straße",13.427106,52.535896
05100312,"Eckschanze",13.196508,52.551360
03601449,"Michelangelostraße",13.447862,52.541829
04501151,"Hildegardstraße",13.324458,52.480284
11400928,"Nöldnerplatz",13.489582,52.499340
12200411,"Schumacher-Quartier",13.317154,52.562598
05300840,"Nonnendammallee",13.257385,52.534428
01300835,"Humboldthain Süd",13.386708,52.541133
01401044,"Uferstraße",13.372929,52.550645
04300621,"Richard-Wagner-Straße",13.306875,52.514358
04300620,"Spreestadt",13.326294,52.519190
01200520,"Bremer Straße",13.340009,52.530074
12500929,"Lübars",13.354296,52.615228
08200831,"Buckow West",13.410012,52.418332
09200818,"Spindlersfeld",13.564131,52.449038
06300528,"Teltower Damm",13.264930,52.421439
10100102,"Rosenbecker Straße",13.571022,52.571013
06300631,"Goerzwerke",13.287147,52.414762
04300622,"Ernst-Reuter-Platz",13.324501,52.512298
01401046,"Nordufer",13.352331,52.540859
11100102,"Dorf Falkenberg",13.549633,52.575746
03300516,"Heinersdorf",13.441099,52.570787
05200527,"Maulbeerallee",13.173827,52.522154
06100209,"Feuerbachstraße",13.334076,52.462236
11100205,"Wartenberg Süd",13.517874,52.570242
12601133,"Treuenbrietzener Straße",13.365400,52.601689
10200423,"Böhlener Straße",13.622821,52.541535
04501044,"Ludwigkirchplatz",13.320894,52.495865
06400840,"Fischtal",13.254613,52.449719
04200311,"Königin-Elisabeth-Straße",13.276585,52.506819
12100102,"Hausotterplatz",13.376764,52.569738
10400836,"Alt-Kaulsdorf",13.588175,52.509069
05200419,"Am Heideberg",13.146611,52.541266
06100101,"Fichtenberg",13.311736,52.459476
05200630,"Wilhelmstadt West",13.191297,52.522965
07400825,"Friedrich-Karl-Straße",13.380315,52.456195
