bzr_id,bzr_name,longitude,latitude
037016,"Prenzlauer Berg Süd",13.428807,52.534104
032002,"Blankenfelde/Niederschönhausen",13.400324,52.612506
024006,"Karl-Marx-Allee Süd",13.439096,52.511079
035010,"Weißensee Ost",13.474753,52.558072
033005,"Blankenburg/Heinersdorf/Märchenland",13.460645,52.583659
045010,"Lietzenburger Straße",13.322248,52.499524
094014,"Allende-Viertel",13.604599,52.440822
076015,"Lichtenrade Süd",13.404309,52.387059
111003,"Neu-Hohenschönhausen Süd",13.502481,52.566033
093012,"Schmöckwitz",13.654086,52.375073
093011,"Grünau",13.595738,52.405507
094016,"Müggelheim",13.683626,52.407010
053007,"Haselhorst",13.229375,52.544865
074007,"Tempelhof Nord",13.392203,52.475622
072004,"Schöneberg Südost",13.359442,52.483401
091002,"Plänterwald",13.479663,52.479601
091003,"Baumschulenweg",13.481012,52.457055
102006,"Hellersdorf Süd",13.586890,52.523563
036011,"Prenzlauer Berg Nordwest",13.406240,52.550023
113008,"Frankfurter Allee Süd",13.484961,52.508979
052004,"Brunsbütteler Damm",13.149262,52.535832
012006,"Moabit Ost",13.355345,52.526271
013008,"Brunnenstraße Nord",13.382872,52.542900
073005,"Friedenau West",13.329120,52.472637
114009,"Neu-Lichtenberg",13.496054,52.504244
024005,"Karl-Marx-Allee Nord",13.437971,52.522958
073006,"Friedenau Ost",13.349140,52.469058
032003,"Buchholz",13.430840,52.607302
114010,"Friedrichsfelde Nord",13.525153,52.506522
101002,"Marzahn Mitte",13.553804,52.553172
074009,"Tempelhof Südost",13.402439,52.459725
043006,"Otto-Suhr-Allee/Kantstraße",13.317266,52.513540
034006,"Schönholz/Wilhelmsruh/Rosenthal",13.376499,52.586782
053008,"Siemensstadt",13.257443,52.539287
126010,"Rollbergesiedlung",13.335067,52.604434
095020,"Köpenick Nord",13.584699,52.467947
083009,"Gropiusstadt West",13.457559,52.428580
082008,"Buckow",13.426569,52.419139
101003,"Marzahn Süd",13.546771,52.531099
023004,"Südliche Luisenstadt",13.436450,52.496307
092007,"Adlershof",13.543089,52.435808
101001,"Marzahn Nord",13.568395,52.566605
036013,"Helmholtzplatz",13.418888,52.543708
102004,"Hellersdorf Nord",13.602627,52.541450
122005,"West 5 - Tegel",13.279308,52.589059
082006,"Britz Nord",13.440176,52.457216
011004,"Brunnenstraße Süd",13.393361,52.533828
031001,"Buch",13.472569,52.639032
